id,name,description,price,category_name,image_url,is_available,display_order,dietary_tags
615fbf54-69be-4aa9-915c-48e0b32d5466,Beetroot Salad,"Beetroot, Oranges, Mixed greens, Feta Cheese, Balsamic dressing. 370+ Calories",12.99,Salad,https://jmmdzoovcfqrqdkiowhd.supabase.co/storage/v1/object/public/photos/menu-items/615fbf54-69be-4aa9-915c-48e0b32d5466-1767779183251.webp,true,8,[]
09616295-f344-4eaf-b3e5-051309e16581,Falafel Rice Bowl,"Fried and ground Garbanzo beans with herbs. Served with Rice, Hummus, Salad, Parsley, Tahini, pickles. GF, V. 286+ Calories",13.99,Power Bowls,https://jmmdzoovcfqrqdkiowhd.supabase.co/storage/v1/object/public/photos/menu-items/09616295-f344-4eaf-b3e5-051309e16581-1767781051094.webp,true,1,[]
25058bb9-1f16-4e91-aa06-f95fd3c775f3,Chicken Shawarma Rice Bowl,"Roasted Chicken Thigh with spices. Served with Rice, Hummus, Salad, Parsley, Tahini, pickles. 299+ Calories",14.99,Power Bowls,https://jmmdzoovcfqrqdkiowhd.supabase.co/storage/v1/object/public/photos/menu-items/25058bb9-1f16-4e91-aa06-f95fd3c775f3-1767781052627.webp,true,2,[]
f9452534-29ed-421c-ae4a-c72d27d5748b,Beef Shawarma Rice Bowl,"Roasted beef with spices. Served with Rice, Hummus, Salad, Parsley, Tahini, pickles. 250+ Calories",15.99,Power Bowls,https://jmmdzoovcfqrqdkiowhd.supabase.co/storage/v1/object/public/photos/menu-items/f9452534-29ed-421c-ae4a-c72d27d5748b-1767781058080.webp,true,3,[]
3a0b6e3d-603d-4a6d-9a20-7e9e7d21aafe,Moroccan Quinoa Bowl,"Quinoa with onions, cucumber, snowpeas, carrots, dates, and almonds. Served with tahini and green spicy sauce. GF",14.99,Power Bowls,https://jmmdzoovcfqrqdkiowhd.supabase.co/storage/v1/object/public/photos/menu-items/3a0b6e3d-603d-4a6d-9a20-7e9e7d21aafe-1767781056728.webp,true,4,[]
d564f74f-d220-4798-8e3d-ec28599151bd,Superfood Quinoa Bowl,"Kale and quinoa with onions, sweet potatoes, cucumber, tomatoes, cabbage, and avocado. Served with balsamic vinaigrette. GF, V",14.99,Power Bowls,https://jmmdzoovcfqrqdkiowhd.supabase.co/storage/v1/object/public/photos/menu-items/d564f74f-d220-4798-8e3d-ec28599151bd-1767781053986.webp,true,5,[]
64153118-7275-438f-9eb7-5928d606b760,Taco Quinoa Bowl,"Quinoa with onions, beans, avocado, corn, tomato salsa, and tortilla chips. Served with chipotle dressing. GF, V",13.99,Power Bowls,https://jmmdzoovcfqrqdkiowhd.supabase.co/storage/v1/object/public/photos/menu-items/64153118-7275-438f-9eb7-5928d606b760-1767781059346.webp,true,6,[]
4d9dc08d-09ca-4fe3-a2b5-3bf03033430c,Mediterranean Quinoa Bowl,"Quinoa with onions, cucumber, tomatoes, cabbage, garbanzo beans, and olives. Served with tahini and green spicy sauce. GF, V",13.99,Power Bowls,https://jmmdzoovcfqrqdkiowhd.supabase.co/storage/v1/object/public/photos/menu-items/4d9dc08d-09ca-4fe3-a2b5-3bf03033430c-1767781055397.webp,true,7,[]
586a9fc3-9a1b-4588-af9e-ba6a126ba07b,Asian Quinoa Bowl,"Quinoa with onions, tofu, cabbage, carrots, almonds, oranges, and cilantro. Served with Asian dressing. GF, V. 367+ Calories",13.99,Power Bowls,https://jmmdzoovcfqrqdkiowhd.supabase.co/storage/v1/object/public/photos/menu-items/586a9fc3-9a1b-4588-af9e-ba6a126ba07b-1767781048250.webp,true,8,[]
0878108d-1904-4da2-ab84-83629f8cf5c2,Falafel Wrap,Crispy falafel wrapped in warm pita with fresh vegetables and tahini sauce,12.95,Mediterranean,https://jmmdzoovcfqrqdkiowhd.supabase.co/storage/v1/object/public/photos/menu-items/0878108d-1904-4da2-ab84-83629f8cf5c2-1767873005759.webp,true,1,[]
43af8a64-f5eb-4f78-b142-436516c080c8,Falafel Bowl,Crispy falafel served over rice with fresh vegetables and tahini sauce,12.95,Mediterranean,https://jmmdzoovcfqrqdkiowhd.supabase.co/storage/v1/object/public/photos/menu-items/43af8a64-f5eb-4f78-b142-436516c080c8-1767872957185.webp,true,2,[]
d81d1e3c-3f0d-432d-9d9f-0f8f8e8f8e8f,Mushroom Bowl,Sautéed mushrooms served over rice with Mediterranean spices,12.95,Mediterranean,,true,3,[]
